name	points	error	time(us)	time per city(us)	distance	optimal_distance
berlin52,52,1.580000,255.000000,4.900000,7661.009766,7542.000000
st70,70,2.170000,661.000000,9.440000,689.640015,675.000000
eil76,76,4.850000,741.000000,9.750000,564.099976,538.000000
pr76,76,2.490000,1051.000000,13.830000,110850.609375,108159.000000
kroA100,100,3.750000,1695.000000,16.950001,22080.689453,21282.000000
kroC100,100,3.170000,1591.000000,15.910000,21405.820312,20749.000000
kroD100,100,6.780000,1609.000000,16.090000,22737.619141,21294.000000
rd100,100,8.360000,1675.000000,16.750000,8571.240234,7910.000000
eil101,101,6.060000,2053.000000,20.330000,667.119995,629.000000
lin105,105,6.090000,1564.000000,14.900000,15254.559570,14379.000000
ch130,130,7.320000,3135.000000,24.120001,6557.279785,6110.000000
ch150,150,4.270000,6040.000000,40.270000,6806.850098,6528.000000
tsp225,225,4.060000,18750.000000,83.330002,4074.899902,3916.000000
a280,280,7.400000,32272.000000,115.260002,2769.820068,2579.000000
pcb442,442,10.520000,137540.984375,311.179993,56120.769531,50778.000000
pr1002,1002,7.580000,1523460.000000,1520.420044,278676.968750,259045.000000
pr2392,2392,10.000000,32860496.000000,13737.669922,415825.000000,378032.000000
